CodDoc;IdTipoDoc;N£mero;CodDocVT;T°tulo del documento;NameDocVT;Autor;URL;P†gina;N£meroMarginal;Libro
LPB;OBC;027;LPB-OBC-027;Epistemolog≠a, creaciΩn y divinidad;LPB-OBC-027-Epistemolog≠a, creaciΩn y divinidad;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;028;LPB-OBC-028;Itinerario hacia la antropolog≠a trascendental I;LPB-OBC-028-Itinerario hacia la antropolog≠a trascendental I;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;029;LPB-OBC-029;Itinerario hacia la antropolog≠a Trascendental II;LPB-OBC-029-Itinerario hacia la antropolog≠a Trascendental II;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;030;LPB-OBC-030;Art≠culos y conferencias;LPB-OBC-030-Art≠culos y conferencias;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;031;LPB-OBC-031;Cursos y Seminarios I;LPB-OBC-031-Cursos y Seminarios I;Leonardo Polo Barrena;https://ebooks.eunsa.es/reader/lp-xxxi-cursos-y-seminarios-tomo-i;;;
STP;REV;001;STP-REV-001;1999-Miscel†nea I;STP-REV-001-1999-Miscel†nea I;AA. VV.;https://revistas.unav.edu/index.php/studia-poliana/issue/view/848;;;
STP;REV;002;STP-REV-002;2000-Miscel†nea II;STP-REV-002-2000-Miscel†nea II;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;003;STP-REV-003;2001-Miscel†nea III;STP-REV-003-2001-Miscel†nea III;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;004;STP-REV-004;2002-Miscel†nea IV;STP-REV-004-2002-Miscel†nea IV;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;005;STP-REV-005;2003-Polo y la Historia de la Filosof≠a I;STP-REV-005-2003-Polo y la Historia de la Filosof≠a I;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;006;STP-REV-006;2004-Polo y la Historia de la Filosof≠a II;STP-REV-006-2004-Polo y la Historia de la Filosof≠a II;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;007;STP-REV-007;2005-Polo y la Historia de la Filosof≠a III;STP-REV-007-2005-Polo y la Historia de la Filosof≠a III;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;008;STP-REV-008;2006-En los 80 aœos de Leonardo Polo;STP-REV-008-2006-En los 80 aœos de Leonardo Polo;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;009;STP-REV-009;2007-Miscel†nea V;STP-REV-009-2007-Miscel†nea V;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;010;STP-REV-010;2008-Miscel†nea VI;STP-REV-010-2008-Miscel†nea VI;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;011;STP-REV-011;2009-El viviente y la biolog≠a en Leonardo Polo;STP-REV-011-2009-El viviente y la biolog≠a en Leonardo Polo;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;012;STP-REV-012;2010-Pluralidad de tiempos según la filosof≠a de Polo;STP-REV-012-2010-Pluralidad de tiempos según la filosof≠a de Polo;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;013;STP-REV-013;2011-El acceso a la antropolog≠a trascendental;STP-REV-013-2011-El acceso a la antropolog≠a trascendental;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;014;STP-REV-014;2012-El acceso a Dios;STP-REV-014-2012-El acceso a Dios;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;015;STP-REV-015;2013-Libertad trascendental;STP-REV-015-2013-Libertad trascendental;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;016;STP-REV-016;2014-Polo ante la cr≠tica;STP-REV-016-2014-Polo ante la cr≠tica;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;017;STP-REV-017;2015-Leonardo Polo y Xavier Zubiri Fenomenolog≠a, Realismo, y Filosof≠a trascendental;STP-REV-017-2015-Leonardo Polo y Xavier Zubiri Fenomenolog≠a, Realismo, y Filosof≠a trascendental;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;018;STP-REV-018;2016-Estudios sobre el Volumen II del Curso de Teor≠a del Conocimiento de Leonardo Polo;STP-REV-018-2016-Estudios sobre el Volumen II del Curso de Teor≠a del Conocimiento de Leonardo Polo;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;019;STP-REV-019;2017-Dios atracciΩn y acicate del saber;STP-REV-019-2017-Dios atracciΩn y acicate del saber;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;020;STP-REV-020;2018-Primero familia, segundo educaciΩn;STP-REV-020-2018-Primero familia, segundo educaciΩn;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;021;STP-REV-021;2019-Las dimensiones del abandono del l≠mite mental;STP-REV-021-2019-Las dimensiones del abandono del l≠mite mental;AA. VV.;https://ebooks.eunsa.es/library/my-publications;;;
STP;REV;022;STP-REV-022;2020-Econom≠a y empresa;STP-REV-022-2020-Econom≠a y empresa;AA. VV.;;;;
